Date,Snow Water Equivalent (in),Change In Snow Water Equivalent,Snow Depth (in),Change In Snow Depth
2013-04-17,58.9,0.1,131,-2
2013-04-18,59.0,0.1,129,-2
2013-04-19,59.4,0.4,126,-3
2013-04-20,,,121,-5
2013-04-21,60.6,,118,-3
2013-04-22,59.2,-1.4,117,-1
2013-04-23,58.3,-0.9,117,0
2013-04-24,57.9,-0.4,116,-1
2013-04-25,57.8,-0.1,114,-2
2013-04-26,57.7,-0.1,114,0
2013-04-27,57.7,0.0,112,-2
2013-04-28,57.9,0.2,111,-1
2013-04-29,58.5,0.6,108,-3
2013-04-30,60.2,1.7,126,18
2013-05-01,59.3,-0.9,126,0
2013-05-02,58.6,-0.7,122,-4
2013-05-03,58.7,0.1,117,-5
2013-05-04,59.5,0.8,115,-2
2013-05-05,59.3,-0.2,112,-3
2013-05-06,58.0,-1.3,110,-2
2013-05-07,56.8,-1.2,108,-2
2013-05-08,55.4,-1.4,105,-3
2013-05-09,53.7,-1.7,103,-2
2013-05-10,52.0,-1.7,100,-3
2013-05-11,50.1,-1.9,97,-3
2013-05-12,47.9,-2.2,94,-3
2013-05-13,46.4,-1.5,91,-3
2013-05-14,45.8,-0.6,90,-1
2013-05-15,44.4,-1.4,89,-1
2013-05-16,43.5,-0.9,87,-2
2013-05-17,42.5,-1.0,86,-1
2013-05-18,41.8,-0.7,85,-1
2013-05-19,40.8,-1.0,83,-2
2013-05-20,40.0,-0.8,81,-2
2013-05-21,39.2,-0.8,80,-1
2013-05-22,38.5,-0.7,79,-1
2013-05-23,38.6,0.1,81,2
2013-05-24,38.5,-0.1,80,-1
2013-05-25,38.0,-0.5,79,-1
2013-05-26,37.4,-0.6,77,-2
2013-05-27,36.7,-0.7,76,-1
2013-05-28,36.3,-0.4,73,-3
2013-05-29,34.9,-1.4,72,-1
2013-05-30,34.5,-0.4,71,-1
2013-05-31,33.4,-1.1,70,-1
2013-06-01,32.1,-1.3,69,-1
2013-06-02,30.5,-1.6,66,-3
